运输方式代码,中文名称,仓库
ZZZYPL,郑州邮政小包PLUS,HZ01 [杭州1号仓]
ZZZYPL,郑州邮政小包PLUS,HZ02 [杭州2号仓]
ZZZYPL,郑州邮政小包PLUS,CNZF01 [郑州仓]
SZZYPL,深圳邮政小包PLUS,SZ01 [深圳1号仓]
SZZYPL,深圳邮政小包PLUS,SZ03 [深圳3号仓]
SZZYPL,深圳邮政小包PLUS,SZBT [深圳坂田仓]
YWZYPL,燕文中邮PLUS,GZ01 [广州1号仓]
ZZZYPY,郑州邮政小包平邮,HZ01 [杭州1号仓]
ZZZYPY,郑州邮政小包平邮,HZ02 [杭州2号仓]
ZZZYPY,郑州邮政小包平邮,CNZF01 [郑州仓]
HZSDXX,杭州E邮宝线下,HZ01 [杭州1号仓]
HZSDXX,杭州E邮宝线下,HZ02 [杭州2号仓]
HZSDEM,杭州EMS速递,HZ01 [杭州1号仓]
HZSDEM,杭州EMS速递,HZ02 [杭州2号仓]
SYSYGH2,顺邮宝挂号,HZ01 [杭州1号仓]
SYSYGH2,顺邮宝挂号,HZ02 [杭州2号仓]
SYSYPP2,顺邮宝平邮plus,HZ01 [杭州1号仓]
SYSYPP2,顺邮宝平邮plus,HZ02 [杭州2号仓]
SYSYPY2,顺邮宝平邮,HZ01 [杭州1号仓]
SYSYPY2,顺邮宝平邮,HZ02 [杭州2号仓]
WINIT-EDS-MYPY2,万邑通易递宝马邮平邮,HZ01 [杭州1号仓]
WINIT-EDS-MYPY2,万邑通易递宝马邮平邮,HZ02 [杭州2号仓]
WINIT-EDS-XGPY2,万邑通易递宝香港平邮,HZ01 [杭州1号仓]
WINIT-EDS-XGPY2,万邑通易递宝香港平邮,HZ02 [杭州2号仓]
WINIT-EDS-ZY2,万邑通易递宝中邮+平邮,HZ01 [杭州1号仓]
WINIT-EDS-ZY2,万邑通易递宝中邮+平邮,HZ02 [杭州2号仓]
ZZZYGH,郑州邮政小包挂号,HZ01 [杭州1号仓]
ZZZYGH,郑州邮政小包挂号,HZ02 [杭州2号仓]
ZZZYGH,郑州邮政小包挂号,CNZF01 [郑州仓]
HZSDXS,杭州E邮宝线上,HZ01 [杭州1号仓]
HZSDXS,杭州E邮宝线上,HZ02 [杭州2号仓]
SYMYGH2,马邮小包挂号,HZ01 [杭州1号仓]
SYMYGH2,马邮小包挂号,HZ02 [杭州2号仓]
SYMYPY2,马邮小包平邮,HZ01 [杭州1号仓]
SYMYPY2,马邮小包平邮,HZ02 [杭州2号仓]
SYSYGP2,顺邮宝挂号plus,HZ01 [杭州1号仓]
SYSYGP2,顺邮宝挂号plus,HZ02 [杭州2号仓]
